"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"2473213";"Exelon transderm. pleister 90 x 9,5 mg / 24 u";"http://www.bcfi.be/nl/contents/jump?amppid=63479";"http://www.bcfi.be/nl/contents/jump?amppid=63479&view=pvt"
"2745016";"Exemestan Sandoz filmomh. tabl. 100 x 25 mg";"http://www.bcfi.be/nl/contents/jump?amppid=60087";"http://www.bcfi.be/nl/contents/jump?amppid=60087&view=pvt"
"2745024";"Exemestan Sandoz filmomh. tabl. 30 x 25 mg";"http://www.bcfi.be/nl/contents/jump?amppid=60095";"http://www.bcfi.be/nl/contents/jump?amppid=60095&view=pvt"
"2388577";"Exforge 10/160 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=41848";"http://www.bcfi.be/nl/contents/jump?amppid=41848&view=pvt"
"2388593";"Exforge 5/160 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=41855";"http://www.bcfi.be/nl/contents/jump?amppid=41855&view=pvt"
"2388551";"Exforge 5/80 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=41830";"http://www.bcfi.be/nl/contents/jump?amppid=41830&view=pvt"
"4165551";"Exforge (Abacus) 10/160 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=171744";"http://www.bcfi.be/nl/contents/jump?amppid=171744&view=pvt"
"4165650";"Exforge (Abacus) 5/160 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=171686";"http://www.bcfi.be/nl/contents/jump?amppid=171686&view=pvt"
"2682474";"Exforge HCT 10/160/12,5 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=54239";"http://www.bcfi.be/nl/contents/jump?amppid=54239&view=pvt"
"2682425";"Exforge HCT 10/160/25 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=54213";"http://www.bcfi.be/nl/contents/jump?amppid=54213&view=pvt"
"2682490";"Exforge HCT 10/320/25 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=54247";"http://www.bcfi.be/nl/contents/jump?amppid=54247&view=pvt"
"2682359";"Exforge HCT 5/160/12,5 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=54171";"http://www.bcfi.be/nl/contents/jump?amppid=54171&view=pvt"
"2684264";"Exforge HCT 5/160/25 filmomh. tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=54445";"http://www.bcfi.be/nl/contents/jump?amppid=54445&view=pvt"
"3540101";"Exjade filmomh. tabl. 90 x 180 mg";"http://www.bcfi.be/nl/contents/jump?amppid=152165";"http://www.bcfi.be/nl/contents/jump?amppid=152165&view=pvt"
"3540119";"Exjade filmomh. tabl. 90 x 360 mg";"http://www.bcfi.be/nl/contents/jump?amppid=152173";"http://www.bcfi.be/nl/contents/jump?amppid=152173&view=pvt"
"3540093";"Exjade filmomh. tabl. 90 x 90 mg";"http://www.bcfi.be/nl/contents/jump?amppid=152157";"http://www.bcfi.be/nl/contents/jump?amppid=152157&view=pvt"
"1527050";"Extencin inj. oploss. (pdr. + solv.) i.m. [flac. + amp.] 1 x 1 200 000 IE";"http://www.bcfi.be/nl/contents/jump?amppid=23176";"http://www.bcfi.be/nl/contents/jump?amppid=23176&view=pvt"
"1626233";"Extrapan 5 % transderm. lok. gel 50 g 50 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=26070";"http://www.bcfi.be/nl/contents/jump?amppid=26070&view=pvt"
"3984580";"Exufiber verband 10 x (10 x 10 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=191528";"http://www.bcfi.be/nl/contents/jump?amppid=191528&view=pvt"
"3984598";"Exufiber verband 10 x (15 x 15 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=191536";"http://www.bcfi.be/nl/contents/jump?amppid=191536&view=pvt"
"3984606";"Exufiber verband 5 x (20 x 30 cm)";"http://www.bcfi.be/nl/contents/jump?amppid=191544";"http://www.bcfi.be/nl/contents/jump?amppid=191544&view=pvt"
"4932976";"Eydenzelt 40 mg / 1 ml inj. oploss. i.vitr. [flac.] 1 x 4 mg / 0,1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=203372";"http://www.bcfi.be/nl/contents/jump?amppid=203372&view=pvt"
