"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00189";"inj. oploss. i.v./s.c. [flac.]";"sol. inj. i.v./s.c. [flac.]";true;false
"00190";"inj. oploss. s.c. Cartridge [patr.]";"sol. inj. s.c. Cartridge [cart.]";true;false
"00191";"inj. oploss. s.c. Kwikpen [voorgev. pen]";"sol. inj. s.c. Kwikpen [stylo prérempli]";true;false
"00192";"inj. susp. s.c. Kwikpen [voorgev. pen]";"susp. inj. s.c. Kwikpen [stylo prérempli]";true;false
"00193";"gran.";"gran.";true;false
"00194";"inj./instill. oploss. i.v./i.arter./i.card./i.cavern./i.duct./i.uter./urethr. [flac.]";"sol. inj./instill. i.v./i.artér./i.canal./i.card./i.cavern./i.utér./urétr. [flac.]";true;false
"00195";"or./rect. oploss. Gastro";"sol. or./rect. Gastro";true;false
"00196";"oploss. (pdr., zakjes) Junior Neutral";"sol. (pdr, sachet) Junior Neutral";true;false
"00197";"oploss. (pdr., zakjes) Junior Aroma";"sol. (pdr, sachet) Junior Arome";true;false
"00198";"oploss. (pdr., zakjes) Natuur";"sol. (pdr, sachet) Nature";true;false
"00199";"oploss. (pdr., zakjes) Sinaasappel";"sol. (pdr, sachet) Orange";true;false
"00200";"oploss. (pdr., zakjes) Neutral";"sol. (pdr, sachet) Neutral";true;false
"00201";"oploss. (pdr., zakjes)";"sol. (pdr, sachet)";true;false
"00202";"cut. spray oploss.";"sol. spray cut.";true;false
"00203";"kauw-/disp. tabl.";"compr. à croquer/disp.";true;false
"00204";"siroop oploss. (zonder suiker)";"sirop sol. (sans sucre)";true;false
"00205";"inj. oploss. i.v./i.arter. [flac.]";"sol. inj. i.v./i.artér. [flac.]";true;false
"00206";"disp. tabl.";"compr. disp.";true;false
"00207";"ocul. zalf [zonder bew.]";"pommade opht. [sans cons.]";true;false
"00208";"inj. oploss. s.c. Autogel [voorgev. spuit]";"sol. inj. s.c. Autogel [ser. préremplie]";true;false
"00209";"kauwtabl.";"compr. à croquer";true;false
