"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"3002185";"00440";"1";"KAKDA";"0010157";"6312-2915";"Colobreathe inhalatiepdr. (harde caps.) [Turbospin] 56x 1,6625MMIE";0;"inhalatiepdr. (harde caps.) [Turbospin]";1;"colistimethaat natrium";;;1662500.0000;"IE";;0.0000;;0.0000;;true;false
"0476283";"01423";"1";"CEAA";"0003004";"6320-4598";"Colofiber 4,55/0,15 gran. (zakjes) 20x";0;"gran. (zakjes)";1;"Plantago ovata (zaad)";;;4.5500;"g";;0.0000;;0.0000;;true;false
"0476283";"01424";"1";"CEAA";"0003004";"6320-4598";"Colofiber 4,55/0,15 gran. (zakjes) 20x";0;"gran. (zakjes)";2;"Plantago ovata (zaadvlies)";;;0.1500;"g";;0.0000;;0.0000;;true;false
"1720465";"01078";"1";"CECBA";"0003095";"6338-75";"Colofort oploss. (pdr., zakjes) 4x";0;"oploss. (pdr., zakjes)";1;"macrogol 4.000";;;64.0000;"g";;0.0000;;0.0000;;true;false
"1720465";"01247";"1";"CECBA";"0003095";"6338-75";"Colofort oploss. (pdr., zakjes) 4x";0;"oploss. (pdr., zakjes)";2;"natrium sulfaat";;;5.7000;"g";;0.0000;;0.0000;;true;false
"1720465";"02002";"1";"CECBA";"0003095";"6338-75";"Colofort oploss. (pdr., zakjes) 4x";0;"oploss. (pdr., zakjes)";3;"natrium waterstofcarbonaat";;;1.6800;"g";;0.0000;;0.0000;;true;false
"1720465";"01243";"1";"CECBA";"0003095";"6338-75";"Colofort oploss. (pdr., zakjes) 4x";0;"oploss. (pdr., zakjes)";4;"natrium chloride";;;1.4600;"g";;0.0000;;0.0000;;true;false
"1720465";"00977";"1";"CECBA";"0003095";"6338-75";"Colofort oploss. (pdr., zakjes) 4x";0;"oploss. (pdr., zakjes)";5;"kalium chloride";;;0.7500;"g";;0.0000;;0.0000;;true;false
"2631372";"01071";"1";"AADF";"0000166";"6106-1636";"Co-Losartan Sandoz 100/25 filmomh. tabl. 98x";0;"filmomh. tabl.";1;"losartan kalium";;;100.0000;"mg";;0.0000;;0.0000;;true;false
"2631372";"00866";"1";"AADF";"0000166";"6106-1636";"Co-Losartan Sandoz 100/25 filmomh. tabl. 98x";0;"filmomh. tabl.";2;"hydrochloorthiazide";;;25.0000;"mg";;0.0000;;0.0000;;true;false
