"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"1070358";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal druppels oploss. 1x10ml 100mg/1ml";0;"druppels oploss.";1;"tramadol hydrochloride";;;100.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"1070366";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal druppels oploss. 3x10ml 100mg/1ml";0;"druppels oploss.";1;"tramadol hydrochloride";;;100.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"1070390";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal harde caps. 30x 50mg";0;"harde caps.";1;"tramadol hydrochloride";;;50.0000;"mg";;0.0000;;0.0000;;true;false
"1070408";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal harde caps. 60x 50mg";0;"harde caps.";1;"tramadol hydrochloride";;;50.0000;"mg";;0.0000;;0.0000;;true;false
"1070382";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal inj./inf. oploss. i.m./i.v. [amp.] 10x 100mg/2ml";0;"inj./inf. oploss. i.m./i.v. [amp.]";1;"tramadol hydrochloride";;;100.0000;"mg";"/";2.0000;"ml";0.0000;;true;false
"1426121";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal oploss. [doseerpomp] 1x50ml 100mg/1ml";0;"oploss. [doseerpomp]";1;"tramadol hydrochloride";;;100.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"3677887";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal tabl. verl. afgifte Retard 100x 100mg";0;"tabl. verl. afgifte Retard";1;"tramadol hydrochloride";;;100.0000;"mg";;0.0000;;0.0000;;true;false
"3677903";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal tabl. verl. afgifte Retard 100x 150mg";0;"tabl. verl. afgifte Retard";1;"tramadol hydrochloride";;;150.0000;"mg";;0.0000;;0.0000;;true;false
"3677895";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal tabl. verl. afgifte Retard 100x 200mg";0;"tabl. verl. afgifte Retard";1;"tramadol hydrochloride";;;200.0000;"mg";;0.0000;;0.0000;;true;false
"2246551";"01769";"1";"HCAM";"0006619";"6478-810";"Contramal tabl. verl. afgifte Retard 60x 100mg";0;"tabl. verl. afgifte Retard";1;"tramadol hydrochloride";;;100.0000;"mg";;0.0000;;0.0000;;true;false
