"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"33472-257";"8900649";"MBCFA";"Tagrisso";"00257";false;;;;;0;0;false;false;false;true;false
"16766-1289";"0009340";"JJA";"Mestinon";"01289";false;;;;;0;0;false;false;false;true;false
"2451-1818";"0001552";"ALAA";"Atorvastatine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"2436-1636";"0001552";"ALAA";"Atorvastatin Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"2295-612";"0000125";"AADA";"Atenolol / Chloortalidone EG";"00612";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"15396-1289";"0001552";"ALAA";"Lipitor";"01289";false;;;;;0;0;false;false;false;true;false
"27094-1289";"0001552";"ALAA";"Totalip";"01289";false;;;;;0;0;false;false;false;true;false
"28209-1933";"0018085";"JADB";"Valdispert Sleep";"01933";false;;;;;0;0;false;false;false;true;false
"27185-232";"0019133";"RACA";"Tracrium";"00232";false;;;;;0;0;false;false;false;true;false
"2527-1784";"0001297";"AHDAA";"Atropine Sulfate Sterop";"01784";false;;;;;0;0;false;false;false;true;false
"12930-232";"0012021";"LCABA";"Imuran";"00232";false;;;;;0;0;false;false;false;true;false
"24745-299";"0014498";"OFCA";"Skinoren";"00299";false;;;;;0;0;false;false;false;true;false
"24240-1073";"0025189";"JEAC";"Selincro";"01073";false;;;;;0;0;false;false;false;true;false
"33555-935";"0007955";"JBDF";"Trevicta";"00935";false;;;;;0;0;false;false;false;true;false
"17442-745";"0020347";"OGA";"Mirvaso";"00745";false;;;;;0;0;false;false;false;true;false
"2758-612";"0009837";"KABBA";"Azithromycine EG";"00612";false;;;;;0;0;false;false;false;true;false
"2774-1636";"0009837";"KABBA";"Azithromycine Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"29322-828";"8902009";"KCDA";"Wellvone";"00828";false;;;;;0;0;false;false;false;true;false
"21956-935";"0011072";"KDCBB";"Prezista";"00935";false;;;;;0;0;false;false;false;true;false
"18598-2162";"0015099";"PABG";"Neobacitracine";"02162";false;;;;;0;0;false;false;false;true;false
"15321-1347";"0009092";"JHA";"Lioresal";"01347";false;;;;;0;0;false;false;false;true;false
"2816-117";"0009092";"JHA";"Baclofen Aguettant";"00117";false;;;;;0;0;false;false;false;true;false
"17053-836";"0016279";"SABA";"Micropaque";"00836";false;;;;;0;0;false;false;false;true;false
"2782-1818";"0009837";"KABBA";"Azithromycine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"33514-1701";"0025809";"AADC";"Bipressil";"01701";false;;;"B";"B";0;0;false;false;false;true;false
"30106-1446";"0009837";"KABBA";"Zitromax";"01446";false;;;;;0;0;false;false;false;true;false
"2659-1941";"0009787";"KAADA";"Azactam";"01941";false;;;;;0;0;false;false;false;true;false
"18572-1743";"0016030";"QDBA";"Neo-Golaseptine";"01743";false;;;;;0;0;false;false;false;true;false
