"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"22061-1701";"0000323";"ABCA";"Procoralan";"01701";false;;;;;0;0;false;false;false;true;false
"18846-4762";"0008417";"JEBCA";"Nicotinell";"04762";false;;;;;0;0;false;false;false;true;false
"23986-1347";"0017707";"EFDB";"Sandostatine";"01347";false;;;;;0;0;false;false;false;true;false
"27219-273";"8905515";"PABD";"Trafloxal";"00273";false;;;;;0;0;false;false;false;true;false
"11361-562";"0020545";"JGAEA";"Fycompa";"00562";false;;;;;0;0;false;false;false;true;false
"40444-1818";"8901233";"LCBBCC";"Cinqaero";"01818";false;;;;;0;0;false;false;false;true;false
"19737-612";"0007948";"JBDE";"Olanzapine EG";"00612";false;;;;;0;0;false;false;false;true;false
"19752-1636";"0007948";"JBDE";"Olanzapine Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"30502-604";"0007948";"JBDE";"Zyprexa";"00604";false;;;;;0;0;false;false;false;true;false
"25924-4697";"0013243";"MDA";"Targretin";"04697";false;;;;;0;0;false;false;false;true;false
"3012-1172";"0001040";"AGBE";"Belsar";"01172";false;;;;;0;0;false;false;false;true;false
"19786-1651";"0001040";"AGBE";"Olmetec";"01651";false;;;;;0;0;false;false;false;true;false
"19794-1651";"0000166";"AADF";"Olmetec Plus";"01651";false;;;"D";"D";0;0;false;false;false;true;false
"3020-1172";"0000166";"AADF";"Belsar Plus";"01172";false;;;"D";"D";0;0;false;false;false;true;false
"42242-3301";"0008482";"JECB";"Buvidal";"03301";false;;;"N";"N";0;0;false;true;false;true;false
"30312-1529";"0007732";"JABA";"Zolpidem Teva";"01529";false;;;;;0;0;false;false;false;true;false
"20008-612";"0002931";"CDBB";"Ondansetron EG";"00612";false;;;;;0;0;false;false;false;true;false
"26682-2428";"0010660";"KCCB";"Tiberal";"02428";false;;;;;0;0;false;false;false;true;false
"25015-1172";"0002709";"CBG";"Spasmomen";"01172";false;;;;;0;0;false;false;false;true;false
"29538-885";"0020271";"EBCA";"Xenical";"00885";false;;;;;0;0;false;false;false;true;false
"20388-67";"0012666";"MAACC";"Oxaliplatin Accord Healthcare";"00067";false;;;;;0;0;false;false;false;true;false
"20024-1289";"0002931";"CDBB";"Ondansetron Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"19869-1818";"0002576";"CAABC";"Omeprazol Teva";"01818";false;;;;;0;0;false;false;false;true;false
"17582-1289";"0007641";"JAAP";"Mogadon";"01289";false;;;;;0;0;false;false;false;true;false
"299-1636";"0002576";"CAABC";"Acidcare";"01636";false;;;;;0;0;false;false;false;true;false
"29538-604";"0020271";"EBCA";"Xenical";"00604";false;;;;;0;0;false;false;false;true;false
"19992-265";"0002931";"CDBB";"Ondansetron B. Braun";"00265";false;;;;;0;0;false;false;false;true;false
"25759-1628";"0010827";"KDBB";"Tamiflu";"01628";false;;;;;0;0;false;false;false;true;false
"30148-1636";"0002931";"CDBB";"Zofsetron";"01636";false;;;;;0;0;false;false;false;true;false
"20404-1818";"0012666";"MAACC";"Oxaliplatine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"39453-1610";"0007054";"IABAA";"Nurofen Patch";"01610";false;;;;;0;0;false;false;false;true;false
"25668-1248";"0005777";"FDAA";"Syntocinon";"01248";false;;;;;0;0;false;false;false;true;false
"20529-67";"0013185";"MAEBC";"Paclitaxel Accord Healthcare";"00067";false;;;;;0;0;false;false;false;true;false
"20552-711";"0013185";"MAEBC";"Paclitaxel Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"20560-844";"0013185";"MAEBC";"Paclitaxel Hospira";"00844";false;;;;;0;0;false;false;false;true;false
"20594-1818";"0013185";"MAEBC";"Paclitaxin";"01818";false;;;;;0;0;false;false;false;true;false
"19885-1289";"0002576";"CAABC";"Omeprazol Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"20248-1818";"0020271";"EBCA";"Orlistat Teva";"01818";false;;;;;0;0;false;false;false;true;false
"20420-1289";"0008839";"JGBAB";"Oxcarbazepine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"20453-612";"0006106";"GAAE";"Oxybutynine EG";"00612";false;;;;;0;0;false;false;false;true;false
"27532-1347";"0008839";"JGBAB";"Trileptal";"01347";false;;;;;0;0;false;false;false;true;false
"19877-612";"0002576";"CAABC";"Omeprazole EG";"00612";false;;;;;0;0;false;false;false;true;false
"20735-1800";"0002584";"CAABD";"Pantomed";"01800";false;;;;;0;0;false;false;false;true;false
"20776-1636";"0002584";"CAABD";"Pantoprazol Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"20784-612";"0002584";"CAABD";"Pantoprazole EG";"00612";false;;;;;0;0;false;false;false;true;false
"20818-1818";"0002584";"CAABD";"Pantoprazole Teva";"01818";false;;;;;0;0;false;false;false;true;false
"20826-1800";"0002584";"CAABD";"Pantozol";"01800";false;;;;;0;0;false;false;false;true;false
"6494-2238";"0014811";"ONEA";"Copa";"02238";false;;;;;0;0;false;false;false;true;false
"20636-844";"0007302";"IEBC";"Pamidronaatdinatrium Hospira";"00844";false;;;;;0;0;false;false;false;true;false
"20644-612";"0007302";"IEBC";"Pamidronate EG";"00612";false;;;;;0;0;false;false;false;true;false
"20792-1289";"0002584";"CAABD";"Pantoprazole Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"40469-265";"0006866";"IAABB";"Ibuprofen B. Braun";"00265";false;;;;;0;0;false;false;false;true;false
"976-1743";"0006437";"HBAA";"Algostase Mono";"01743";false;;;;;0;0;false;false;false;true;false
"29819-810";"0017954";"HCBE";"Zaldiar";"00810";false;;;"N";"N";0;0;false;false;false;true;false
"27250-1818";"0017954";"HCBE";"Tramadol / Paracetamol Teva";"01818";false;;;"N";"N";0;0;false;false;false;true;false
"21188-943";"0019901";"HBDD";"Perdolan Compositum";"00943";false;;;;;0;0;false;false;false;true;false
"943-1743";"0006528";"HCBB";"Algocod";"01743";false;;;"d";"d";0;0;false;false;false;true;false
"6981-3376";"0006528";"HCBB";"Dafalgan Codeine";"03376";false;;;"d";"d";0;0;false;false;false;true;false
"6973-3376";"0006437";"HBAA";"Dafalgan";"03376";false;;;;;0;0;false;false;false;true;false
"40485-1289";"0020826";"FBCAA";"Cupraluna Omega Cu 375";"01289";false;;;;;0;0;false;false;false;true;false
"29363-1743";"0019943";"HBDA";"Witte Kruis";"01743";false;;;;;0;0;false;false;false;true;false
"20925-1818";"0006437";"HBAA";"Paracetamol Teva";"01818";false;;;;;0;0;false;false;false;true;false
"20651-4150";"0006437";"HBAA";"Panadol";"04150";false;;;;;0;0;false;false;false;true;false
"968-1743";"0019943";"HBDA";"Algostase";"01743";false;;;;;0;0;false;false;false;true;false
"638-1743";"0019893";"HBDC";"Afebryl";"01743";false;;;;;0;0;false;false;false;true;false
"16253-1743";"0019943";"HBDA";"Mann";"01743";false;;;;;0;0;false;false;false;true;false
"21170-943";"0006437";"HBAA";"Perdolan";"00943";false;;;;;0;0;false;false;false;true;false
"24695-943";"8904757";"QCACA";"Sinutab";"00943";false;;;"S";"S";0;0;false;false;false;true;false
"23580-1628";"0012310";"LCBBDC";"RoActemra";"01628";false;;;;;0;0;false;false;false;true;false
"8581-1446";"0007005";"IAADC";"Dynastat";"01446";false;;;;;0;0;false;false;false;true;false
"14589-943";"0003020";"CEBA";"Lansoyl Paraffine";"00943";false;;;;;0;0;false;false;false;true;false
"40501-4135";"0029017";"LBEA";"Megalotect";"04135";false;;;;;0;0;false;false;false;true;false
"20883-711";"0006437";"HBAA";"Paracetamol Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"24182-1867";"0018101";"JADC";"Sedistress";"01867";false;;;;;0;0;false;false;false;true;false
"3475-836";"0016360";"SDA";"Bleu Patente V Guerbet";"00836";false;;;;;0;0;false;false;false;true;false
"21014-612";"0008201";"JCAAE";"Paroxetine EG";"00612";false;;;;;0;0;false;false;false;true;false
"21030-1636";"0008201";"JCAAE";"Paroxetine Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"20677-4150";"0019943";"HBDA";"Excedryn Pijn & Koorts";"04150";false;;;;;0;0;false;false;false;true;false
"6601-1701";"0000158";"AADE";"Coveram";"01701";false;;;;;0;0;false;false;false;true;false
"21246-1636";"0000141";"AADD";"Perindopril / Indapamide Sandoz";"01636";false;;;"D";"D";0;0;false;false;false;true;false
"21931-1701";"0000141";"AADD";"Preterax";"01701";false;;;"D";"D";0;0;false;false;false;true;false
"6627-638";"0000141";"AADD";"Coversyl Plus";"00638";false;;;"D";"D";0;0;false;false;false;true;false
"7344-1636";"0012385";"LDAAC";"Desloratadin Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"6619-1701";"0000950";"AGAF";"Coversyl";"01701";false;;;;;0;0;false;false;false;true;false
"27490-1289";"0018200";"NBBHA";"Tribvit";"01289";false;;;;;0;0;false;false;false;true;false
"40519-570";"8900623";"MBCEA";"Verzenios";"00570";false;;;;;0;0;false;false;false;true;false
"14753-3624";"0003236";"CEDAB";"Laxoberon";"03624";false;;;;;0;0;false;false;false;true;false
"29835-828";"8001109";"KECHBA";"Zalvor";"00828";false;;;;;0;0;false;false;false;true;false
"7807-3244";"0006700";"HCAJ";"Dipidolor";"03244";false;;;;;0;0;false;false;true;true;false
"13680-1347";"0015339";"PDAA";"Pilocarpine-Isopto";"01347";false;;;;;0;0;false;false;false;true;false
"3640-455";"0006957";"IAACB";"Brexine";"00455";false;;;;;0;0;false;false;false;true;false
"8417-3624";"0003236";"CEDAB";"Dulcolax Picosulphate";"03624";false;;;;;0;0;false;false;false;true;false
"6619-1529";"0000950";"AGAF";"Coversyl";"01529";false;;;;;0;0;false;false;false;true;false
"21022-1289";"0008201";"JCAAE";"Paroxetine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"21279-1636";"0000950";"AGAF";"Perindopril Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"21501-612";"0001479";"AJC";"Piracetam EG";"00612";false;;;;;0;0;false;false;false;true;false
"21535-612";"0006957";"IAACB";"Piroxicam EG";"00612";false;;;;;0;0;false;false;false;true;false
"6601-1529";"0000158";"AADE";"Coveram";"01529";false;;;;;0;0;false;false;false;true;false
"21139-3574";"8902017";"KCDB";"Pentacarinat";"03574";false;;;;;0;0;false;false;false;true;false
"19083-4572";"0001479";"AJC";"Nootropil";"04572";false;;;;;0;0;false;false;false;true;false
"620-505";"0001529";"AKB";"Aethoxysklerol";"00505";false;;;;;0;0;false;false;false;true;false
"22046-513";"0011874";"LBAA";"Privigen";"00513";false;;;;;0;0;false;false;false;true;false
"22087-315";"0005967";"FFBA";"Progestogel";"00315";false;;;;;0;0;false;false;false;true;false
"21758-612";"0008573";"JFCC";"Pramipexole EG";"00612";false;;;;;0;0;false;false;false;true;false
"21766-1289";"0008573";"JFCC";"Pramipexole Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"21824-1289";"0001578";"ALAB";"Pravastatine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"21832-1636";"0001578";"ALAB";"Pravastatine Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"21840-1818";"0001578";"ALAB";"Pravastatine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"21865-612";"0007674";"JAAS";"Prazepam EG";"00612";false;;;;;0;0;false;false;false;true;false
"24497-372";"0008573";"JFCC";"Sifrol";"00372";false;;;;;0;0;false;false;false;true;false
"18226-2428";"0016816";"JGBDB";"Mysoline";"02428";false;;;;;0;0;false;false;false;true;false
"28134-315";"0005942";"FFAA";"Utrogestan";"00315";false;;;;;0;0;false;false;false;true;false
"23861-1818";"0001248";"AHCDA";"Rytmonorm";"01818";false;;;;;0;0;false;false;false;true;false
"50096-612";"0013706";"NBABD";"Vitamine D3 EG";"00612";false;;;;;0;0;false;false;false;true;false
"22210-711";"0019117";"RAAD";"Propolipid";"00711";false;;;;;0;0;false;false;false;true;false
"22194-265";"0019117";"RAAD";"Propofol B. Braun";"00265";false;;;;;0;0;false;false;false;true;false
"7823-232";"0019117";"RAAD";"Diprivan";"00232";false;;;;;0;0;false;false;false;true;false
"19554-1370";"0011874";"LBAA";"Octagam";"01370";false;;;;;0;0;false;false;false;true;false
"4937-1800";"0018663";"BABBDA";"Ceprotin";"01800";false;;;;;0;0;false;false;false;true;false
"14969-1636";"0017020";"MECC";"Letrozol Sandoz";"01636";false;;;"AO";"AO";0;0;false;false;false;true;false
"22558-612";"0007963";"JBDG";"Quetiapine EG";"00612";false;;;;;0;0;false;false;false;true;false
"22228-612";"0000695";"AEI";"Propranolol EG";"00612";false;;;"B";"B";0;0;false;false;false;true;false
"7104-828";"0010710";"KCEA";"Daraprim";"00828";false;;;;;0;0;false;false;false;true;false
"75-3269";"0007922";"JBDA";"Abilify";"03269";false;;;;;0;0;false;false;false;true;false
"12997-1024";"0000695";"AEI";"Inderal";"01024";false;;;"B";"B";0;0;false;false;false;true;false
"2899-3269";"0010926";"KDDB";"Baraclude";"03269";false;;;;;0;0;false;false;false;true;false
"16048-1289";"0020289";"JGBCA";"Lyrica";"01289";false;;;;;0;0;false;false;false;true;false
"12872-943";"0020818";"CBI";"Imonogas";"00943";false;;;;;0;0;false;false;false;true;false
"50104-4754";"8906539";"AEG";"Runrapiq";"04754";false;;;"B";"B";0;0;false;false;false;true;false
"22574-1818";"0007963";"JBDG";"Quetiapine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"22533-1636";"0007963";"JBDG";"Quetiapin Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"22566-1289";"0007963";"JBDG";"Quetiapine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"38935-1180";"8903254";"LCBDCA";"Mavenclad";"01180";false;;;;;0;0;false;false;false;true;false
"24364-604";"0007963";"JBDG";"Seroquel";"00604";false;;;;;0;0;false;false;false;true;false
"26971-844";"0012914";"MABDA";"Tomudex";"00844";false;;;;;0;0;false;false;false;true;false
"9993-2097";"0007203";"MFD";"Fasturtec";"02097";false;;;;;0;0;false;false;false;true;false
"27615-2097";"0000976";"AGAH";"Tritace";"02097";false;;;;;0;0;false;false;false;true;false
"22681-612";"0000976";"AGAH";"Ramipril EG";"00612";false;;;;;0;0;false;false;false;true;false
"22699-1636";"0000976";"AGAH";"Ramipril Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"27615-1529";"0000976";"AGAH";"Tritace";"01529";false;;;;;0;0;false;false;false;true;false
"27623-2097";"0000141";"AADD";"Tritazide";"02097";false;;;"D";"D";0;0;false;false;false;true;false
"48389-612";"0017392";"BABABD";"Rivaroxaban EG";"00612";false;;;;;0;0;false;false;false;true;false
"50112-604";"0016485";"TBA";"Imcivree";"00604";true;;;;;0;0;true;false;false;true;false
"2725-1818";"0008631";"JFEA";"Azilect";"01818";false;;;;;0;0;false;false;false;true;false
"27854-232";"0017749";"RABC";"Ultiva";"00232";false;;;"N";"N";0;0;false;false;true;true;false
"19398-1354";"0017566";"EADA";"NovoNorm";"01354";false;;;;;0;0;false;false;false;true;false
"23382-2097";"0010355";"KAHBA";"Rifadine";"02097";false;;;;;0;0;false;false;false;true;false
"23416-2097";"0018143";"JMA";"Rilutek";"02097";false;;;;;0;0;false;false;false;true;false
"406-3160";"0007310";"IEBD";"Actonel";"03160";false;;;;;0;0;false;false;false;true;false
"23440-1636";"0007310";"IEBD";"Risedronaat Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"23481-935";"0007971";"JBDH";"Risperdal";"00935";false;;;;;0;0;false;false;false;true;false
"23515-612";"0007971";"JBDH";"Risperidone EG";"00612";false;;;;;0;0;false;false;false;true;false
"23481-1529";"0007971";"JBDH";"Risperdal";"01529";false;;;;;0;0;false;false;false;true;false
"31039-1818";"0007971";"JBDH";"Risperidone Teva";"01818";false;;;;;0;0;false;false;false;true;false
"48512-828";"8902215";"MCAB";"Jemperli";"00828";true;;;;;0;0;false;false;false;true;false
"22491-4598";"0016030";"QDBA";"Pyralvex";"04598";false;;;;;0;0;false;false;false;true;false
"17368-299";"0005355";"FBAAC";"Mirelle";"00299";false;;;;;0;0;false;false;false;true;false
"15958-3103";"0005363";"FBAAD";"Louise";"03103";false;;;;;0;0;false;false;false;true;false
"23143-828";"0008581";"JFCD";"Requip";"00828";false;;;;;0;0;false;false;false;true;false
"16352-3491";"0009217";"JIAAE";"Maxalt";"03491";false;;;;;0;0;false;false;false;true;false
"39818-984";"0005363";"FBAAD";"Oedien";"00984";false;;;;;0;0;false;false;false;true;false
"40550-554";"0018895";"LDACBA";"Navalit";"00554";false;;;;;0;0;false;false;false;true;false
"40543-1354";"0029025";"EAGD";"Ozempic";"01354";false;;;;;0;0;false;false;false;true;false
"9811-1347";"0018689";"JKAC";"Exelon";"01347";false;;;;;0;0;false;false;false;true;false
"497-570";"0017780";"ANG";"Adcirca";"00570";false;;;;;0;0;false;false;false;true;false
"28621-828";"0003566";"DAAAA";"Ventolin";"00828";false;;;"B2,d";"B2,d";0;0;false;false;false;true;false
"11031-455";"0003590";"DAABA";"Formoair";"00455";false;;;"d";"d";0;0;false;false;false;true;false
"24349-828";"0003608";"DAABD";"Serevent";"00828";false;;;"d";"d";0;0;false;false;false;true;false
"9787-760";"0005413";"FBABA";"Evra";"00760";false;;;;;0;0;false;false;false;true;false
"24356-1289";"0008219";"JCAAF";"Serlain";"01289";false;;;;;0;0;false;false;false;true;false
"24315-1073";"0007989";"JBDI";"Serdolect";"01073";false;;;;;0;0;false;false;false;true;false
"6676-810";"0001586";"ALAC";"Crestor";"00810";false;;;;;0;0;false;false;false;true;false
"19349-1289";"0003590";"DAABA";"Novolizer Formoterol";"01289";false;;;"d";"d";0;0;false;false;false;true;false
"23069-2097";"0016469";"TACCA";"Renvela";"02097";false;;;;;0;0;false;false;false;true;false
"23705-1289";"0008581";"JFCD";"Ropinirole Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"24398-612";"0008219";"JCAAF";"Sertraline EG";"00612";false;;;;;0;0;false;false;false;true;false
"24406-1289";"0008219";"JCAAF";"Sertraline Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"24414-1636";"0008219";"JCAAF";"Sertraline Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"24422-1818";"0008219";"JCAAF";"Sertraline Teva";"01818";false;;;;;0;0;false;false;false;true;false
"40576-257";"8902215";"MCAB";"Imfinzi";"00257";false;;;;;0;0;false;false;false;true;false
"422-1529";"0013425";"EAEA";"Actos";"01529";false;;;;;0;0;false;false;false;true;false
"11007-1636";"0003590";"DAABA";"Foradil";"01636";false;;;"d";"d";0;0;false;false;false;true;false
"11023-1743";"0003590";"DAABA";"Formagal";"01743";false;;;"d";"d";0;0;false;false;false;true;false
"22269-1834";"0017939";"GBDA";"Prostaserene";"01834";false;;;;;0;0;false;false;false;true;false
"50120-1636";"0017236";"IEEAA";"Wyost";"01636";true;;;;;0;0;false;false;false;true;false
"25064-612";"0000513";"ADBC";"Spironolactone EG";"00612";false;;;"D";"D";0;0;false;false;false;true;false
"22756-1446";"8902900";"LCAFBA";"Rapamune";"01446";false;;;;;0;0;false;false;false;true;false
"28704-240";"0006122";"GAAG";"Vesicare";"00240";false;;;;;0;0;false;false;false;true;false
"24851-596";"0017715";"EFDD";"Somatostatine-Belpharma";"00596";false;;;;;0;0;false;false;false;true;false
"12823-828";"0009225";"JIAAF";"Imitrex";"00828";false;;;;;0;0;false;false;false;true;false
"28753-1289";"0019430";"GCAB";"Viagra";"01289";false;;;;;0;0;false;false;false;true;false
"1925-2097";"0001024";"AGBC";"Aprovel";"02097";false;;;;;0;0;false;false;false;true;false
"24620-1289";"0001594";"ALAD";"Simvastatine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"11643-1446";"0005074";"EFCA";"Genotonorm";"01446";false;;;"H";"H";0;0;false;false;false;true;false
"3558-828";"0018457";"LACDA";"Boostrix Polio";"00828";false;;;;;0;0;false;false;false;true;false
"31955-2261";"0014811";"ONEA";"Biatain Silicone";"02261";false;;;;;0;0;false;false;false;true;false
"24596-1636";"0001594";"ALAD";"Simvastatin Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"24612-612";"0001594";"ALAD";"Simvastatine EG";"00612";false;;;;;0;0;false;false;false;true;false
"24638-1818";"0001594";"ALAD";"Simvastatine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"24943-604";"0001263";"AHCEA";"Sotalex";"00604";false;;;"B";"B";0;0;false;false;false;true;false
"24968-1636";"0001263";"AHCEA";"Sotalol Sandoz";"01636";false;;;"B";"B";0;0;false;false;false;true;false
"40592-1818";"0002972";"CDCA";"Aprepitant Teva";"01818";false;;;;;0;0;false;false;false;true;false
"22251-4598";"0017939";"GBDA";"Prosta-Urgenin";"04598";false;;;;;0;0;false;false;false;true;false
"14803-1289";"0002808";"TABCA";"Legalon-Sil";"01289";false;;;;;0;0;false;false;false;true;false
"794-1446";"0000513";"ADBC";"Aldactone";"01446";false;;;"D";"D";0;0;false;false;false;true;false
"25395-3244";"0017756";"RABD";"Sufenta";"03244";false;;;"N";"N";0;0;false;false;true;true;false
"18176-2014";"0014076";"OACC";"Myk-1";"02014";false;;;;;0;0;false;false;false;true;false
"9720-232";"0010231";"KAFA";"Eusaprim";"00232";false;;;;;0;0;false;false;false;true;false
"23911-1446";"0003426";"CGBA";"Salazopyrine";"01446";false;;;;;0;0;false;false;false;true;false
"25478-612";"0009225";"JIAAF";"Sumatriptan EG";"00612";false;;;;;0;0;false;false;false;true;false
"25502-1818";"0009225";"JIAAF";"Sumatriptan Teva";"01818";false;;;;;0;0;false;false;false;true;false
"25486-1289";"0009225";"JIAAF";"Sumatriptan Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"40600-2444";"0028423";"PBCC";"Lecrolyn";"02444";false;;;;;0;0;false;false;false;true;false
"40618-3087";"0014738";"ONAA";"Medihoney Apinate";"03087";false;;;;;0;0;false;false;false;true;false
"3541-828";"0018440";"LACCA";"Boostrix";"00828";false;;;;;0;0;false;false;false;true;false
"16659-1230";"0014811";"ONEA";"Mepilex";"01230";false;;;;;0;0;false;false;false;true;false
"40634-2402";"0014738";"ONAA";"Kliniderm Alginate";"02402";false;;;;;0;0;false;false;false;true;false
"6759-455";"0004143";"DCBA";"Curosurf";"00455";false;;;;;0;0;false;false;false;true;false
"7997-3756";"0007898";"JBCB";"Dogmatil";"03756";false;;;;;0;0;false;false;false;true;false
"21253-1701";"0000950";"AGAF";"Perindopril Servier";"01701";false;;;;;0;0;false;false;false;true;false
"24950-1289";"0001263";"AHCEA";"Sotalol Viatris";"01289";false;;;"B";"B";0;0;false;false;false;true;false
"25494-1636";"0009225";"JIAAF";"Sumatriptan Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"25593-1446";"8900706";"MBCLA";"Sutent";"01446";false;;;;;0;0;false;false;false;true;false
"23788-3574";"0009886";"KABCA";"Rovamycine";"03574";false;;;;;0;0;false;false;false;true;false
"6742-174";"0014563";"OHAA";"Curatoderm";"00174";false;;;;;0;0;false;false;false;true;false
"22350-1040";"0018077";"OLD";"Protopic";"01040";false;;;;;0;0;false;false;false;true;false
"22103-240";"8902579";"LCADBA";"Prograft";"00240";false;;;;;0;0;false;false;false;true;false
"5223-570";"0019448";"GCAC";"Cialis";"00570";false;;;;;0;0;false;false;false;true;false
"19067-257";"0004697";"MEAA";"Nolvadex";"00257";false;;;"AO";"AO";0;0;false;false;false;true;false
"25775-1818";"0004697";"MEAA";"Tamoplex";"01818";false;;;"AO";"AO";0;0;false;false;false;true;false
"25791-1636";"0004697";"MEAA";"Tamoxifen Sandoz";"01636";false;;;"AO";"AO";0;0;false;false;false;true;false
"3095-3012";"0013243";"MDA";"Beromun";"03012";false;;;;;0;0;false;false;false;true;false
"16998-372";"0000166";"AADF";"MicardisPlus";"00372";false;;;"D";"D";0;0;false;false;false;true;false
"16980-372";"0001057";"AGBF";"Micardis";"00372";false;;;;;0;0;false;false;false;true;false
"18549-596";"0009563";"KAAAEA";"Negaban";"00596";false;;;;;0;0;false;false;false;true;false
"50138-1636";"0017236";"IEEAA";"Jubbonti";"01636";true;;;;;0;0;false;false;false;true;false
"3145-1289";"0015727";"QBAA";"Betahistine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"3137-612";"0015727";"QBAA";"Betahistine EG";"00612";false;;;;;0;0;false;false;false;true;false
"26716-604";"0001891";"BAABAC";"Ticlid";"00604";false;;;;;0;0;false;false;false;true;false
"12625-182";"0006221";"GBAD";"Hytrin";"00182";false;;;;;0;0;false;false;false;true;false
"26351-182";"0006221";"GBAD";"Terazosab";"00182";false;;;;;0;0;false;false;false;true;false
"31542-3160";"0013417";"IEAB";"Cacit Vitamine D3";"03160";false;;;;;0;0;false;false;false;true;false
"26260-1263";"0017111";"MAADC";"Temodal";"01263";false;;;;;0;0;false;false;false;true;false
"40675-2402";"0014811";"ONEA";"Kliniderm Foam";"02402";false;;;;;0;0;false;false;false;true;false
"3194-1289";"0015727";"QBAA";"Betaserc";"01289";false;;;;;0;0;false;false;false;true;false
"13268-455";"0003780";"DAEA";"Inuvair";"00455";false;;;"c";"c";0;0;false;false;false;true;false
"11908-661";"0017681";"EFBB";"Glypressin";"00661";false;;;"M";"M";0;0;false;false;false;true;false
"25585-232";"0004804";"EDDB";"Sustanon 250";"00232";false;;;"A";"A";0;0;false;false;false;true;false
"7864-3491";"0014258";"OBAA";"Diprosone";"03491";false;;;"c";"c";0;0;false;false;false;true;false
"27995-2022";"0010074";"KAKBA";"Urfamycine";"02022";false;;;;;0;0;false;false;false;true;false
"3046-1453";"0016873";"NBBAA";"Benerva";"01453";false;;;;;0;0;false;false;false;true;false
"26666-2097";"0004580";"ECBA";"Thyrogen";"02097";false;;;;;0;0;false;false;false;true;false
"18911-1446";"0011700";"LABEC";"Nimenrix";"01446";false;;;;;0;0;false;false;false;true;false
"26419-612";"0010538";"KBDA";"Terbinafine EG";"00612";false;;;;;0;0;false;false;false;true;false
"26435-1636";"0010538";"KBDA";"Terbinafine Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"26443-1818";"0010538";"KBDA";"Terbinafine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"14431-4630";"8001471";"KECJBB";"Lamisil";"04630";false;;;;;0;0;false;false;false;true;false
"27862-1164";"0017152";"NACA";"Ultra-Mg";"01164";false;;;;;0;0;false;false;false;true;false
"40691-2402";"0014837";"ONFA";"Kliniderm Silicone";"02402";false;;;;;0;0;false;false;false;true;false
"8482-1347";"0025981";"PDFB";"Duotrav";"01347";false;;;"B";"B";0;0;false;false;false;true;false
"12278-3103";"0005728";"FCCA";"Heria";"03103";false;;;"A";"A";0;0;false;false;false;true;false
"16261-232";"0016147";"RBC";"Marcaine";"00232";false;;;;;0;0;false;false;false;true;false
"13128-1040";"0002055";"BABBABC";"Innohep";"01040";false;;;;;0;0;false;false;false;true;false
"26930-1347";"0015081";"PABF";"Tobrex";"01347";false;;;;;0;0;false;false;false;true;false
"19547-604";"0009993";"KAID";"Obracin";"00604";false;;;;;0;0;false;false;false;true;false
"26989-935";"0008797";"JGADA";"Topamax";"00935";true;;;;;0;0;false;false;false;true;false
"26997-612";"0008797";"JGADA";"Topiramate EG";"00612";true;;;;;0;0;false;false;false;true;false
"40683-2402";"0014811";"ONEA";"Kliniderm Foam Silicone";"02402";false;;;;;0;0;false;false;false;true;false
"14092-406";"0005009";"EEHA";"Kenacort A";"00406";false;;;"C";"C";0;0;false;false;false;true;false
"26427-1289";"0010538";"KBDA";"Terbinafine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
"27946-3756";"0007534";"JAAF";"Uni-Tranxene";"03756";false;;;;;0;0;false;false;false;true;false
