"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"3412020";"AMA";"0025627";"B";"33274-3483";"U";"Trinomia 100/20/5 harde caps. 98x";;"00014";;98;"x";;;;;0.0000;;;;"R";"b";39.5700;;;;;"harde caps.";10.1600;9.9600;5.9200;"36376";"acetylsalicylzuur + atorvastatine + ramipril oraal 100 mg + 20 mg + 5 mg";false;false;;true;false;false;true;false
"3926706";"AMA";"0025627";"B";"33274-3483";"U";"Trinomia 100/40/10 harde caps. 98x";;"00014";;98;"x";;;;;0.0000;;;;"R";"b";49.5400;;;;;"harde caps.";12.5600;12.3100;7.3100;"42788";"acetylsalicylzuur + atorvastatine + ramipril oraal 100 mg + 40 mg + 10 mg";false;false;;true;false;false;true;false
"3926714";"AMA";"0025627";"B";"33274-3483";"U";"Trinomia 100/40/2,5 harde caps. 98x";;"00014";;98;"x";;;;;0.0000;;;;"R";"b";34.2500;;;;;"harde caps.";8.8900;8.7100;5.1800;"42754";"acetylsalicylzuur + atorvastatine + ramipril oraal 100 mg + 40 mg + 2,5 mg";false;false;;true;false;false;true;false
"3926730";"AMA";"0025627";"B";"33274-3483";"U";"Trinomia 100/40/5 harde caps. 98x";;"00014";;98;"x";;;;;0.0000;;;;"R";"b";39.5700;;;;;"harde caps.";10.1600;9.9600;5.9200;"42770";"acetylsalicylzuur + atorvastatine + ramipril oraal 100 mg + 40 mg + 5 mg";false;false;;true;false;false;true;false
"0091280";"FBAAF";"0005389";;"27557-1446";"C";"Trinordiol omh. tabl. 3x21 (6x+5x+10x)";;"00042";;3;"x";"21.0";"x";;;0.0000;;;"6+5+10";"R";"J";14.6000;;;;;"omh. tabl.";8.8900;5.6000;5.6000;"33126";"Groep Trinordiol oraal (fase I-III) [NOVOS: anticonceptie multifasisch]";false;false;;false;false;false;true;false
"3158292";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 10/2,5/10 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"b";28.9300;;;;;"filmomh. tabl.";24.8700;7.4600;4.4400;"34041";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 10 mg + 2,5 mg";false;true;;true;false;false;true;false
"3158300";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 10/2,5/10 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";58.8300;;;;;"filmomh. tabl.";16.1000;14.4900;8.6100;"34041";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 10 mg + 2,5 mg";false;true;;true;false;false;true;false
"3158276";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 10/2,5/5 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"b";29.3600;;;;;"filmomh. tabl.";25.2300;7.5700;4.5000;"34033";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 5 mg + 2,5 mg";false;true;;true;false;false;true;false
"3158284";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 10/2,5/5 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";47.8200;;;;;"filmomh. tabl.";13.2200;11.9000;7.0700;"34033";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 5 mg + 2,5 mg";false;true;;true;false;false;true;false
"3158250";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 5/1,25/10 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"b";19.6800;;;;;"filmomh. tabl.";15.7700;4.7300;2.8400;"34025";"perindopril + amlodipine + indapamide oraal eq. 4 mg + 10 mg + 1,25 mg";false;true;;true;false;false;true;false
"3158268";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 5/1,25/10 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";43.6600;;;;;"filmomh. tabl.";12.1300;10.9200;6.4900;"34025";"perindopril + amlodipine + indapamide oraal eq. 4 mg + 10 mg + 1,25 mg";false;true;;true;false;false;true;false
"3158235";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 5/1,25/5 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"b";20.2100;;;;;"filmomh. tabl.";16.3700;4.9100;2.9400;"34017";"perindopril + amlodipine + indapamide oraal eq. 4 mg + 5 mg + 1,25 mg";false;true;;true;false;false;true;false
"3158243";"AADH";"0020628";"G";"27581-1701";"U";"Triplixam 5/1,25/5 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";30.6100;;;;;"filmomh. tabl.";8.7300;7.8600;4.6800;"34017";"perindopril + amlodipine + indapamide oraal eq. 4 mg + 5 mg + 1,25 mg";false;true;;true;false;false;true;false
"3435195";"AADH";"0020628";"G";"27581-885";"U";"Triplixam (Impexeco) 10/2,5/10 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";58.8300;;"parallelinvoer";;;"filmomh. tabl.";16.1000;14.4900;8.6100;"34041";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 10 mg + 2,5 mg";false;true;;true;false;false;true;false
"3412632";"AADH";"0020628";"G";"27581-885";"U";"Triplixam (Impexeco) 10/2,5/5 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";47.8200;;"parallelinvoer";;;"filmomh. tabl.";13.2200;11.9000;7.0700;"34033";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 5 mg + 2,5 mg";false;true;;true;false;false;true;false
"3435229";"AADH";"0020628";"G";"27581-885";"U";"Triplixam (Impexeco) 5/1,25/10 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";43.6600;;"parallelinvoer";;;"filmomh. tabl.";12.1300;10.9200;6.4900;"34025";"perindopril + amlodipine + indapamide oraal eq. 4 mg + 10 mg + 1,25 mg";false;true;;true;false;false;true;false
"3435161";"AADH";"0020628";"G";"27581-885";"U";"Triplixam (Impexeco) 5/1,25/5 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";30.6100;;"parallelinvoer";;;"filmomh. tabl.";8.7300;7.8600;4.6800;"34017";"perindopril + amlodipine + indapamide oraal eq. 4 mg + 5 mg + 1,25 mg";false;true;;true;false;false;true;false
"4625901";"AADH";"0020628";"G";"27581-3418";"U";"Triplixam (Orifarm Belgium) 10/2,5/10 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";58.8300;;"parallelinvoer";;;"filmomh. tabl.";16.1000;14.4900;8.6100;"34041";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 10 mg + 2,5 mg";false;true;;true;false;false;true;false
"4625919";"AADH";"0020628";"G";"27581-3418";"U";"Triplixam (Orifarm Belgium) 10/2,5/5 filmomh. tabl. 90x";;"00003";;90;"x";;;;;0.0000;;;;"R";"b";47.8200;;"parallelinvoer";;;"filmomh. tabl.";13.2200;11.9000;7.0700;"34033";"perindopril + amlodipine + indapamide oraal eq. 8 mg + 5 mg + 2,5 mg";false;true;;true;false;false;true;false
"3982592";"MDA";"0013243";;"27599-1818";"O";"Trisenox inf. oploss. (conc.) i.v. [amp.] 10x 12mg/6ml";;"00077";;10;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"inf. oploss. (conc.) i.v. [amp.]";0.0000;0.0000;0.0000;"43786";"arseentrioxide infusie 12 mg / 6 ml [no switch: onco]";false;false;;false;false;false;true;false
"0386615";"FCBAA";"0005702";"B";"27607-1354";"C";"Trisequens filmomh. tabl. 3x28 (12x+10x+6x)";;"00003";;3;"x";"28.0";"x";;;0.0000;;;"12+10+6";"R";"b";17.1800;;"geen onderbreking tussen de behandelingscycli";;;"filmomh. tabl.";4.6300;3.8900;2.3300;"33001";"Groep Trisequens oraal (fase I-III) [NOVOS: anticonceptie multifasisch]";false;false;;true;false;false;true;false
"4679791";"AGAH";"0000976";"G";"27615-3418";"O";"Tritace (Orifarm Belgium) tabl. (deelb.) 56x 10mg";;"00017";;56;"x";;;;;0.0000;;;;"R";"b";21.6100;;"parallelinvoer";;;"tabl. (deelb. kwantit.)";9.6100;5.3800;3.2300;"27177";"ramipril oraal 10 mg";false;true;;true;false;false;true;false
"2650703";"AGAH";"0000976";"G";"27615-1529";"O";"Tritace (PI-Pharma) tabl. (deelb.) 56x 10mg";;"00017";;56;"x";;;;;0.0000;;;;"R";"b";21.6100;;"parallelinvoer";;;"tabl. (deelb. kwantit.)";9.6100;5.3800;3.2300;"27177";"ramipril oraal 10 mg";false;true;;true;false;false;true;false
"2650695";"AGAH";"0000976";"G";"27615-1529";"O";"Tritace (PI-Pharma) tabl. (deelb.) 56x 5mg";;"00017";;56;"x";;;;;0.0000;;;;"R";"b";14.4300;;"parallelinvoer";;;"tabl. (deelb. kwantit.)";5.2900;2.9600;1.7700;"27201";"ramipril oraal 5 mg";false;true;;true;false;false;true;false
"0430660";"AGAH";"0000976";"G";"27615-2097";"O";"Tritace tabl. (deelb.) 28x 2,5mg";;"00017";;28;"x";;;;;0.0000;;;;"R";"b";9.5300;;;;;"tabl. (deelb. kwantit.)";7.1400;2.0000;1.0000;"27185";"ramipril oraal 2,5 mg";false;true;;true;false;false;true;false
"2115079";"AGAH";"0000976";"G";"27615-2097";"O";"Tritace tabl. (deelb.) 56x 10mg";;"00017";;56;"x";;;;;0.0000;;;;"R";"b";21.6100;;;;;"tabl. (deelb. kwantit.)";9.6100;5.3800;3.2300;"27177";"ramipril oraal 10 mg";false;true;;true;false;false;true;false
"1260827";"AGAH";"0000976";"G";"27615-2097";"O";"Tritace tabl. (deelb.) 56x 5mg";;"00017";;56;"x";;;;;0.0000;;;;"R";"b";14.4300;;;;;"tabl. (deelb. kwantit.)";5.2900;2.9600;1.7700;"27201";"ramipril oraal 5 mg";false;true;;true;false;false;true;false
"2545986";"AADD";"0000141";"G";"27623-2097";"U";"Tritazide 5/25 tabl. (deelb.) 56x";;"00017";;56;"x";;;;;0.0000;;;;"R";"b";17.9900;;;;;"tabl. (deelb. kwantit.)";7.4300;4.1600;2.5000;"27193";"ramipril + hydrochloorthiazide oraal 5 mg + 25 mg";false;true;;true;false;false;true;false
